Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
112,0.114128,32.849,0.544922,21.36,62.00,921.00
113,0.100019,22.336,0.06875,21.26,62.00,921.00
114,0.0799971,27.748,0.0171875,21.37,62.00,921.00
115,0.112877,35.206,0,21.28,62.00,921.00
116,0.128465,20.229,1.01914,21.41,62.00,921.00
117,0.110662,37.218,0.418359,21.20,62.00,918.00
118,0.28304,43.331,0.421875,21.21,62.00,918.00
119,0.211843,34.216,0.267188,21.12,62.00,918.00
120,0.0499926,13.577,0.0195312,21.09,62.00,918.00
121,0.2046,31.659,0.148438,20.98,62.00,918.00
122,0.08811,21.525,0.09375,20.98,62.00,918.00
123,0.197678,20.099,0.125391,21.03,62.00,918.00
124,0.0517273,22.636,0.809375,21.05,62.00,930.00
125,0.0756378,26.142,0.220313,21.09,62.00,930.00
126,0.0936012,23.265,0.199609,21.07,62.00,930.00
127,0.231407,25.495,0.131641,21.20,62.00,930.00
128,0.123759,39.079,0.200391,21.14,62.00,930.00
129,0.0793295,31.039,0.173828,21.15,62.00,930.00
130,0.163754,29.668,0.0515625,21.09,62.00,930.00
131,0.0390816,23.556,0.0496094,21.51,62.00,930.00
132,0.11611,22.692,0.614844,20.94,62.00,920.00
133,0.35645,27.811,0.242578,21.01,62.00,920.00
134,0.0802603,22.992,0.345313,20.85,62.00,920.00
135,0.0496645,21.419,0,21.19,62.00,920.00
136,0.0723791,26.518,0.183203,21.14,62.00,920.00
137,0.0719585,25.130,0.381641,21.17,62.00,920.00
138,0.117134,32.854,0.250781,21.07,62.00,920.00
139,0.114919,26.619,0.0617188,21.29,62.00,920.00
140,0.0931454,24.426,0.399219,21.25,62.00,920.00
141,0.109529,36.290,0.882422,20.65,62.00,920.00
