Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
114,0.291571,13.473,0.0328125,31.31,68.00,750.00
115,0.439836,13.985,0.547656,31.33,68.00,750.00
116,0.251873,18.856,0.491406,31.36,68.00,750.00
117,0.29828,11.648,0,31.37,68.00,745.00
118,0.0532351,8.395,0,31.38,68.00,745.00
119,0.631264,17.473,0.517188,31.36,68.00,745.00
120,0.294278,14.330,0.117969,31.37,68.00,745.00
121,0.395113,12.141,0.5375,31.35,68.00,745.00
122,0.176295,10.160,0.473438,31.35,68.00,745.00
123,0.182252,25.140,0,31.45,68.00,745.00
124,0.34425,17.581,0,31.43,68.00,745.00
125,0.402283,14.222,0.519141,31.48,68.00,752.00
126,0.475952,26.776,0.7,31.43,68.00,752.00
127,0.35138,16.139,0,31.42,68.00,752.00
128,0.238252,13.362,0.334766,31.41,68.00,752.00
129,0.152884,17.915,0.182422,31.60,68.00,752.00
130,0.376875,21.025,0.0375,31.50,68.00,752.00
131,0.578131,21.838,0.55,31.60,68.00,757.00
132,0.363788,25.438,0.362109,31.63,68.00,757.00
133,0.354073,18.222,0.394141,31.52,68.00,757.00
134,0.226657,12.004,0.0253906,31.52,68.00,757.00
135,0.39029,13.808,0.403906,31.53,68.00,757.00
136,0.354601,16.283,0.490234,31.55,68.00,757.00
137,0.416603,16.385,0.987109,31.50,68.00,757.00
138,0.394068,12.946,0.59375,31.59,68.00,757.00
139,0.115649,21.952,0.46875,31.55,68.00,757.00
140,0.312311,16.263,0.0128906,31.70,68.00,759.00
141,0.152822,20.298,0.324219,31.63,68.00,759.00
142,0.587255,17.943,0.542578,31.62,68.00,759.00
143,0.243985,15.443,0.461719,31.59,68.00,759.00
144,0.313809,13.895,0.469531,31.58,68.00,759.00
145,0.253206,14.635,0.479297,31.58,68.00,759.00
146,0.236707,15.530,0,31.63,68.00,759.00
147,0.230439,15.947,0.0015625,31.60,68.00,759.00
148,0.58165,23.180,0.710938,31.61,68.00,755.00
149,0.292808,18.570,0.478125,31.64,68.00,755.00
150,0.407002,12.453,0.482813,31.61,68.00,755.00
151,0.212911,10.989,0.0226563,31.61,68.00,755.00
152,0.16327,17.813,0.155469,31.69,68.00,755.00
153,0.671833,20.617,0.0851563,31.62,68.00,755.00
154,0.357703,21.593,0.527734,31.64,68.00,755.00
155,0.419319,20.087,0.476953,31.65,68.00,755.00
156,0.385429,12.280,0.05,31.67,68.00,755.00
157,0.516564,23.970,0.210938,31.69,68.00,755.00
158,0.191044,10.701,0.0335937,31.70,68.00,760.00
159,0.544231,15.403,0.100391,31.66,68.00,760.00
160,0.341201,14.354,0.522266,31.65,68.00,760.00
161,0.439484,13.506,0.430859,31.69,68.00,760.00
162,0.239261,15.681,0.551563,31.65,68.00,760.00
163,0.309402,12.693,0.566016,31.71,68.00,760.00
164,0.412017,24.541,0,31.67,68.00,760.00
165,0.50981,14.027,0.544141,31.70,68.00,760.00
166,0.115439,10.896,0.5,31.69,68.00,756.00
167,0.406875,16.435,0.0269531,31.70,68.00,756.00
168,0.0903521,8.717,0.545312,31.73,68.00,756.00
169,0.837569,33.143,0.103906,31.86,68.00,756.00
170,0.865499,34.156,0.338281,31.97,68.00,756.00
171,0.686029,34.428,0.557813,31.79,68.00,756.00
172,0.234015,24.155,0,31.75,68.00,756.00
173,0.238162,16.106,0.458594,31.73,68.00,756.00
174,0.354198,16.781,0.536719,31.72,68.00,756.00
175,0.58158,25.000,0.615234,31.71,68.00,761.00
176,0.117272,11.138,0,31.72,68.00,761.00
177,0.0674963,20.100,0.101172,31.74,68.00,761.00
178,0.333286,15.773,0.364063,31.73,68.00,761.00
179,0.292057,14.660,0.514844,31.71,68.00,761.00
180,0.547048,27.347,0.0410156,31.80,68.00,761.00
181,0.0927477,24.836,0.0917969,31.98,68.00,761.00
182,0.124072,18.606,0.298047,31.86,68.00,761.00
183,0.522477,22.323,0.2,31.96,68.00,761.00
184,0.225322,32.354,0.120703,31.98,68.00,761.00
185,0.403339,37.334,0.392969,31.92,68.00,761.00
186,0.0425806,18.569,0,31.74,68.00,761.00
187,0.524779,19.911,0.465625,31.78,68.00,761.00
188,0.399547,23.222,0.405859,31.88,68.00,761.00
189,0.50232,22.809,0.412891,31.69,68.00,761.00
