Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/recommendation,12300,0,16,24.41040650406504,6,7401,52.90471544715447,6.836733507790475,0.0,16,17,18,19,22,52,97,200,520,5200,7400
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/reservation,162,0,15,133.09259259259258,9,6664,20.0,0.09004478278553309,0.0,16,17,18,18,22,26,260,660,6700,6700,6700
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/search,16969,0,17,100.47757675761683,6,18426,48.28163120985326,9.43191308078834,0.0,17,19,33,260,290,320,550,720,5100,18000,18000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/user,159,0,16,105.42767295597484,8,5233,39.0,0.08837728680802322,0.0,16,17,18,19,20,28,68,4900,5200,5200,5200
,Aggregated,29590,0,16,69.06306184521797,6,18426,49.99864819195674,16.44706865817237,0.0,16,18,20,22,270,300,370,630,4100,18000,18000
