Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/recommendation,9595,0,43,59.70776446065659,18,6794,70.07420531526837,5.332409620182784,0.0,43,66,75,78,86,94,110,340,580,6800,6800
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/reservation,114,0,33,89.94736842105263,20,5561,40.0,0.06335536182395388,0.0,33,35,37,40,44,61,310,490,5600,9600,9600
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/search,14611,0,170,202.34590377113133,122,17563,66.79378550407228,8.120045540436754,0.0,170,180,190,190,220,370,620,660,1100,18000,18000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/user,121,0,51,156.52892561983472,29,5864,59.0,0.06724560333945981,0.0,51,56,59,62,71,290,390,5300,5900,5900,5900
,Aggregated,24441,0,160,145.59821611227036,18,17563,67.91804754306288,13.583056125782953,0.0,160,170,180,180,200,240,540,640,1000,17000,18000
