Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/recommendation,9233,0,46,79.45012455323297,21,7944,70.2422831149139,5.130457260519595,0.0,46,71,80,83,92,110,380,500,5400,7900,7900
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/reservation,122,0,34,367.11475409836066,19,6407,40.0,0.0677911605960566,0.0,34,37,40,41,68,5000,6000,6300,6400,6400,6400
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/search,13829,0,180,216.80540892327718,121,18684,66.7802444139128,7.684294753138252,0.0,180,190,190,200,220,330,600,660,5900,18000,19000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/hotelReservation/user,106,0,52,161.88679245283018,38,5525,59.0,0.05890051658345901,0.0,52,56,59,59,66,180,500,5000,5500,5500,5500
,Aggregated,23290,0,160,162.89021039072563,19,18684,67.97702876771146,12.941443690837362,0.0,160,180,180,190,210,250,530,630,5900,18000,19000
