Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
111,0.182526,11.637,0.0304688,26.91,108.00,903.00
112,0.105132,10.962,0.0121094,26.42,108.00,903.00
113,0.0527649,9.421,0,20.97,108.00,903.00
114,0.0512161,11.184,0,20.99,108.00,903.00
115,0.241737,12.615,0.54375,20.98,108.00,903.00
116,0.0900249,18.031,0.0152344,21.05,108.00,903.00
117,0.175064,12.871,0.0421875,21.06,108.00,903.00
118,0.0997276,10.346,0.492969,21.06,108.00,903.00
119,0.0691652,13.091,0.229688,21.06,108.00,903.00
120,0.111245,8.879,0.246484,21.06,108.00,923.00
121,0.20289,9.797,0.0605469,21.06,108.00,923.00
122,0.109521,9.208,0.48125,21.05,108.00,923.00
123,0.103853,13.206,0.454688,21.07,108.00,923.00
124,0.147249,10.865,0.0390625,21.06,108.00,923.00
125,0.0958261,14.691,0.498438,21.06,108.00,923.00
126,0.066658,9.801,0,21.07,108.00,923.00
127,0.224188,11.104,0.0605469,21.12,108.00,923.00
128,0.0642738,10.261,0,21.10,108.00,923.00
129,0.0804167,11.612,0.0800781,21.11,108.00,903.00
130,0.141564,18.242,0.5,21.16,108.00,903.00
131,0.118634,12.740,0.0222656,21.18,108.00,903.00
132,0.0959702,12.705,0.003125,21.17,108.00,903.00
133,0.276402,15.240,0.557422,21.13,108.00,903.00
134,0.0961561,23.056,0,21.12,108.00,903.00
135,0.0558043,9.479,0.0429688,21.14,108.00,903.00
136,0.101681,11.270,0.0175781,21.16,108.00,903.00
137,0.0933828,9.449,0.0523438,21.15,108.00,903.00
138,0.094842,8.611,0.283984,21.16,108.00,903.00
139,0.167622,11.586,0.2625,21.15,108.00,903.00
140,0.155379,16.363,0.480078,21.14,108.00,903.00
141,0.0844889,11.235,0.0121094,21.15,108.00,903.00
142,0.128119,17.226,0.0269531,21.05,108.00,903.00
143,0.0711288,7.928,0.0222656,21.02,108.00,903.00
144,0.0660334,11.588,0.477734,21.08,108.00,903.00
145,0.100843,13.980,0.0109375,21.11,108.00,903.00
146,0.176872,13.838,0.0394531,21.10,108.00,903.00
147,0.0945826,9.398,0.510156,21.12,108.00,903.00
148,0.164946,10.062,0.0414063,21.11,108.00,906.00
149,0.0806665,11.365,0.535156,21.11,108.00,906.00
150,0.0742979,15.834,0,21.08,108.00,906.00
151,0.113755,12.262,0.725391,21.10,108.00,906.00
152,0.169364,20.373,0.0402344,21.11,108.00,906.00
153,0.0781975,9.322,0.475781,21.12,108.00,906.00
154,0.197392,11.344,0.496875,21.13,108.00,906.00
155,0.0881491,9.400,0.0246094,21.11,108.00,906.00
156,0.0676813,16.044,0.48125,21.13,108.00,906.00
157,0.109398,8.768,0.0183594,21.13,108.00,906.00
158,0.0515347,10.361,0,21.14,108.00,906.00
159,0.142639,8.467,0.0339844,21.16,108.00,906.00
160,0.32926,19.065,0.485156,21.14,108.00,906.00
161,0.117958,10.030,0.034375,21.14,108.00,906.00
162,0.0771036,14.074,0.494922,21.14,108.00,906.00
163,0.0611839,9.096,0.0015625,21.16,108.00,906.00
164,0.0768747,10.775,0,21.15,108.00,906.00
165,0.0795364,8.745,0.478125,21.16,108.00,906.00
166,0.19308,20.672,0.0824219,21.18,108.00,921.00
167,0.0837679,13.677,0.483984,21.31,108.00,921.00
168,0.0889769,14.321,0.480859,21.40,108.00,921.00
169,0.156995,12.768,0.534766,21.45,108.00,921.00
170,0.0811357,11.977,0,21.43,108.00,921.00
171,0.106809,11.185,0.0148438,21.44,108.00,921.00
172,0.0628777,10.285,0.015625,21.45,108.00,921.00
173,0.106746,11.232,0.0210938,21.44,108.00,921.00
174,0.238029,11.239,0.691016,21.44,108.00,908.00
175,0.0645227,12.500,0.3125,21.43,108.00,908.00
176,0.078187,12.836,0.0132813,21.42,108.00,908.00
177,0.136797,12.772,0.517969,21.45,108.00,908.00
178,0.12281,15.195,0.535156,21.42,108.00,908.00
179,0.0420904,9.202,0,21.47,108.00,908.00
180,0.208815,22.718,0.595703,21.49,108.00,908.00
181,0.0997934,11.382,0.514453,21.41,108.00,908.00
182,0.126221,9.062,0.0335937,21.42,108.00,909.00
183,0.0815563,11.596,0.501172,21.37,108.00,909.00
184,0.066782,15.157,0,21.37,108.00,909.00
185,0.0890751,11.056,0.0128906,21.24,108.00,909.00
186,0.165573,11.793,0.516016,21.25,108.00,909.00
187,0.0720482,10.643,0.0136719,21.27,108.00,909.00
188,0.165881,11.281,0.530469,21.27,108.00,909.00
189,0.221912,20.694,0.0464844,21.25,108.00,909.00
190,0.0433788,15.086,0.467969,21.17,108.00,909.00
191,0.153575,21.923,0.49375,21.18,108.00,910.00
192,0.188,13.258,0,21.18,108.00,910.00
