Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
114,0.328761,42.342,0.933984,26.15,68.00,328.00
115,0.184889,44.973,0.414844,26.47,68.00,328.00
116,0.122238,45.219,0.169141,26.48,68.00,522.00
117,0.367409,31.592,0.140625,26.61,68.00,522.00
118,0.548903,46.822,0.246875,26.80,68.00,522.00
119,0.0346975,36.061,0.0886719,26.90,68.00,522.00
120,0.605399,54.258,0.241797,26.96,68.00,522.00
121,0.371972,50.496,0.320703,26.80,68.00,522.00
122,0.192644,30.443,0.141797,26.92,68.00,535.00
123,0.104232,31.835,0.123047,26.95,68.00,535.00
124,0.156471,44.662,0.157813,26.62,68.00,535.00
125,0.384856,30.764,0.115625,26.79,68.00,535.00
126,0.0404367,28.295,0.191016,26.70,68.00,535.00
127,0.268145,40.826,0.114453,26.48,68.00,535.00
128,0.022975,21.645,0.00898438,26.89,68.00,535.00
129,0.367149,50.270,0.121094,26.72,68.00,535.00
130,0.34913,32.723,0.216016,26.93,68.00,542.00
131,0.326827,53.427,0,26.88,68.00,542.00
132,0.335436,51.336,0,26.82,68.00,542.00
133,0.161553,44.117,0,27.09,68.00,542.00
134,0.224694,44.078,0.0078125,26.94,68.00,542.00
135,0.566272,51.476,0,26.67,68.00,542.00
136,0.25289,31.166,0.0746094,26.80,68.00,542.00
137,0.0899258,27.802,1.96719,26.90,68.00,542.00
138,0.167887,35.467,0,26.76,68.00,545.00
139,0.0523081,32.924,0,26.84,68.00,545.00
140,0.249772,30.689,0.0230469,26.79,68.00,545.00
141,0.425379,50.066,0.114844,26.76,68.00,545.00
142,0.370975,38.642,1.10156,26.66,68.00,545.00
143,0.120366,34.382,0.0835938,27.11,68.00,545.00
144,0.296516,52.491,0.230469,26.75,68.00,545.00
145,0.0392065,36.828,0.152734,26.67,68.00,561.00
146,0.545239,31.042,0.179297,26.74,68.00,561.00
147,0.217123,51.888,0.150781,26.64,68.00,561.00
148,0.325809,50.432,0.157031,26.65,68.00,561.00
149,0.541716,42.175,0.182422,27.01,68.00,561.00
150,0.435677,54.036,0.14375,26.91,68.00,561.00
151,0.216227,48.467,0.110938,26.75,68.00,561.00
152,0.235067,49.379,0.101172,26.93,68.00,626.00
153,0.27524,56.792,0,26.83,68.00,626.00
154,0.20126,33.812,0.346484,27.70,68.00,626.00
155,0.286881,55.570,0.252734,27.37,68.00,626.00
156,0.225179,51.017,0.227344,27.40,68.00,626.00
157,0.107475,47.779,0.758984,27.19,68.00,626.00
158,0.232718,36.367,0.210156,27.11,68.00,626.00
159,0.194965,50.953,0.0542969,27.91,68.00,626.00
160,0.0946312,40.012,0,26.95,68.00,572.00
161,0.163086,43.230,0,26.92,68.00,572.00
162,0.0211411,24.612,0.000390625,27.28,68.00,572.00
163,0.219836,51.304,0.0078125,26.95,68.00,572.00
164,0.674155,54.873,0.357031,26.83,68.00,572.00
165,0.428442,38.984,0.0996094,27.06,68.00,572.00
166,0.154949,47.306,0.210938,26.34,68.00,572.00
167,0.168582,51.290,0.24375,26.95,68.00,618.00
168,0.143474,42.139,0.133594,26.86,68.00,618.00
169,0.538343,50.100,0.289062,26.50,68.00,618.00
170,0.217332,50.327,0.108203,26.76,68.00,618.00
171,0.335358,53.645,0.176953,26.83,68.00,618.00
172,0.241476,49.738,0.167578,26.62,68.00,618.00
173,0.110959,31.442,0.920313,26.12,68.00,618.00
174,0.113543,47.536,0.000390625,26.54,68.00,573.00
175,0.535088,60.880,0.200391,26.63,68.00,573.00
176,0.585989,53.255,0.264453,26.75,68.00,573.00
177,0.103729,36.132,0.174219,26.64,68.00,573.00
178,0.358772,30.938,0,26.83,68.00,573.00
179,0.478928,44.436,0.187109,26.73,68.00,573.00
180,0.298635,37.443,0.145703,26.72,68.00,573.00
181,0.118121,31.039,0.594531,26.82,68.00,573.00
182,0.450111,38.636,0.05625,26.59,68.00,573.00
183,0.351788,33.932,0.0851563,26.74,68.00,573.00
184,0.216547,52.418,0,26.73,68.00,573.00
185,0.225729,51.263,0.00273438,26.56,68.00,573.00
186,0.404757,38.764,0,26.77,68.00,573.00
187,0.277908,51.024,0,26.81,68.00,577.00
188,0.537559,34.482,0.366016,27.16,68.00,577.00
189,0.357517,25.000,0,26.86,68.00,577.00
190,0.329589,52.446,0.0253906,26.83,68.00,577.00
191,0.494611,36.622,0.0546875,26.81,68.00,577.00
192,0.225716,54.760,0,26.65,68.00,577.00
193,0.0507517,46.485,0,26.52,68.00,577.00
194,0.0570288,51.705,0,26.83,68.00,575.00
195,0.149669,39.870,3.95156,26.93,68.00,575.00
196,0.380382,53.975,0.0214844,26.74,68.00,575.00
197,0.198936,42.838,0.0542969,27.02,68.00,575.00
198,0.265286,59.779,0,27.05,68.00,575.00
199,0.195315,35.404,0.04375,27.51,68.00,575.00
200,0.277691,55.495,0.00351563,27.45,68.00,575.00
201,0.302057,55.263,0,27.33,68.00,580.00
202,0.277566,53.233,0.0375,27.37,68.00,580.00
203,0.193395,49.967,0.127734,27.69,68.00,580.00
204,0.206032,31.206,0.182813,27.73,68.00,580.00
205,0.371697,55.455,0.293359,27.05,68.00,580.00
206,0.314589,42.959,0.117188,27.09,68.00,580.00
207,0.349147,51.802,0.116797,26.93,68.00,580.00
208,0.127432,47.316,0.265625,26.74,68.00,584.00
209,0.34549,46.360,0.601562,26.82,68.00,584.00
210,0.696731,50.071,0.242578,26.95,68.00,584.00
211,0.611113,59.384,0.270313,26.78,68.00,584.00
212,0.71232,52.720,0.353125,26.88,68.00,584.00
213,0.221767,46.949,0.0429688,26.94,68.00,584.00
214,0.263459,51.633,0.29375,26.97,68.00,583.00
215,0.243351,54.950,0.29375,27.04,68.00,583.00
216,0.197845,35.233,0.141406,27.09,68.00,583.00
217,0.0315504,27.495,0.0515625,27.12,68.00,583.00
218,0.219688,53.480,0.148828,27.02,68.00,583.00
219,0.108827,54.803,0,27.06,68.00,583.00
220,0.332534,45.307,0.21875,27.08,68.00,583.00
221,0.461531,50.742,0.222266,27.34,68.00,587.00
222,0.0996666,37.964,0.174609,27.50,68.00,587.00
223,0.393625,51.282,0.0269531,27.57,68.00,587.00
224,0.0961685,51.443,0.0261719,27.60,68.00,587.00
225,0.482491,34.239,0.0933594,27.58,68.00,587.00
226,0.270106,58.933,0.111719,27.48,68.00,587.00
227,0.366111,50.672,0.053125,26.80,68.00,587.00
228,0.0883465,28.905,0,27.48,68.00,587.00
229,0.116616,55.360,0,27.07,68.00,583.00
230,0.200301,23.019,0.0652344,26.37,68.00,583.00
231,0.535448,43.910,0.046875,26.52,68.00,583.00
232,0.351194,38.554,0.0492188,26.98,68.00,583.00
233,0.611577,51.119,0.443359,26.78,68.00,583.00
234,0.154371,29.591,0.101953,26.17,68.00,583.00
235,0.378065,51.931,0.211719,26.88,68.00,583.00
236,0.45734,53.053,0.255078,26.64,68.00,580.00
237,0.270236,32.172,0.0933594,26.38,68.00,580.00
238,0.324366,51.757,0.253125,26.93,68.00,580.00
239,0.273746,30.423,0.0769531,26.89,68.00,580.00
240,0.169199,51.377,0.509375,26.58,68.00,580.00
241,0.223872,61.588,0.223047,26.65,68.00,580.00
242,0.176434,47.266,0.128516,26.52,68.00,580.00
243,0.477201,26.768,0,26.79,68.00,587.00
244,0.347669,49.166,0.075,26.84,68.00,587.00
245,0.0833273,27.522,0.0484375,26.99,68.00,587.00
246,0.0490074,50.863,0.153125,26.69,68.00,587.00
247,0.32027,32.553,0.165625,26.91,68.00,587.00
248,0.207868,60.233,0.13125,26.89,68.00,587.00
249,0.171039,48.528,0,26.76,68.00,587.00
250,0.550309,47.961,0,26.77,68.00,583.00
251,0.168977,48.378,0.00703125,26.88,68.00,583.00
252,0.194885,32.291,0.0703125,26.99,68.00,583.00
253,0.368649,32.556,0.0476563,27.02,68.00,583.00
254,0.444627,35.212,0.0910156,26.86,68.00,583.00
255,0.216909,49.312,0,26.65,68.00,583.00
256,0.44675,49.531,0.000390625,26.70,68.00,583.00
257,0.297319,55.128,0,26.95,68.00,583.00
258,0.407662,49.872,0.0429688,26.96,68.00,582.00
259,0.247552,42.819,2.86758,27.15,68.00,582.00
260,0.255971,31.826,0.0382813,27.13,68.00,582.00
261,0.487394,53.395,0.0378906,26.81,68.00,582.00
262,0.394517,54.587,0.0210938,26.74,68.00,582.00
263,0.303149,51.717,0,26.78,68.00,582.00
264,0.346511,30.937,0.0820312,27.18,68.00,582.00
265,0.171851,53.211,0,26.89,68.00,582.00
266,0.0334501,38.839,1.79844,26.16,68.00,582.00
267,0.393196,51.615,0.184375,27.01,68.00,582.00
268,0.418088,54.563,0.258594,27.00,68.00,582.00
269,0.346532,29.050,0.150391,27.23,68.00,582.00
270,0.377627,50.330,0.233594,26.43,68.00,582.00
271,0.219558,47.704,0.141406,26.86,68.00,582.00
272,0.337645,52.645,0.180859,26.94,68.00,582.00
273,0.702285,45.205,0.140625,27.02,68.00,580.00
274,0.0814657,28.490,0.159766,27.40,68.00,580.00
275,0.278868,49.659,0.184766,26.96,68.00,580.00
276,0.124867,49.396,0.162891,26.94,68.00,580.00
277,0.0359468,33.636,0.120703,27.11,68.00,580.00
278,0.317818,30.694,1.06211,27.02,68.00,580.00
279,0.589128,51.961,0.0855469,27.09,68.00,580.00
280,0.259738,45.387,0.494922,27.18,68.00,580.00
281,0.0444803,39.807,0.0816406,26.84,68.00,582.00
282,0.404341,42.884,0.213281,27.26,68.00,582.00
283,0.225614,27.937,0.121094,27.39,68.00,582.00
284,0.169848,49.768,0.0265625,26.98,68.00,582.00
285,0.0868893,33.557,0,27.19,68.00,582.00
286,0.505356,38.280,0.11875,26.81,68.00,582.00
287,0.254084,32.934,0.0535156,27.06,68.00,585.00
288,0.653336,54.289,0.287109,27.30,68.00,585.00
289,0.0384645,37.769,0,27.33,68.00,585.00
290,0.362606,30.853,0.0265625,27.07,68.00,585.00
291,0.252942,49.931,0.0550781,27.25,68.00,585.00
292,0.218355,40.869,0,27.93,68.00,585.00
293,0.0211182,40.780,0.000390625,28.34,68.00,585.00
294,0.0362854,55.069,0,28.38,68.00,591.00
295,0.2208,54.798,0.0078125,27.42,68.00,591.00
296,0.401386,59.550,0.580078,27.24,68.00,591.00
297,0.0889969,47.831,0,27.24,68.00,591.00
298,0.224093,56.351,0.0835938,27.29,68.00,591.00
299,0.323833,68.149,0,28.65,68.00,591.00
300,0.401011,55.759,0,29.59,68.00,591.00
301,0.107336,63.349,0,29.56,68.00,591.00
302,0.205153,53.552,0.0125,27.61,68.00,587.00
303,0.16127,44.993,0,27.63,68.00,587.00
304,0.255759,33.159,4.15234,27.76,68.00,587.00
305,0.0332384,37.380,0,27.97,68.00,587.00
306,0.0947018,32.421,0.0921875,27.75,68.00,587.00
307,0.171706,15.776,0.0585938,27.93,68.00,587.00
308,0.371912,31.257,0.2125,27.73,68.00,587.00
309,0.0582485,53.042,0.155469,27.82,68.00,591.00
310,0.255703,33.862,0.065625,27.35,68.00,591.00
311,0.0752096,21.969,0.0914063,27.46,68.00,591.00
312,0.43261,55.007,0.226953,27.77,68.00,591.00
313,0.63369,58.151,0.315625,27.38,68.00,591.00
314,0.295002,51.528,0.271484,27.25,68.00,591.00
