Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/MLWorkflow/decision_tree,9907,0,16,23.452912082366005,7,6034,53.0,6.363414618808828,0.0,16,17,18,18,21,25,36,290,500,6000,6000
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/MLWorkflow/feature_transform,9913,0,15,21.14899626752749,6,4581,156.63704226772924,6.367268508756627,0.0,15,16,17,18,20,24,34,300,490,4600,4600
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/MLWorkflow/linear_regression,9918,0,15,21.79189352692075,6,4623,137.39231699939504,6.370480083713127,0.0,15,16,17,18,21,25,51,330,500,4600,4600
POST,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/MLWorkflow/rule_match,9914,0,15,21.608533387129313,6,3819,37.000100867460155,6.367910823747927,0.0,15,16,17,18,20,24,36,320,510,3800,3800
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/predict-pipeline/sequence,4276,0,180,271.17516370439665,75,24995,111.91043030869972,2.746538902798682,0.0,180,190,200,210,410,660,900,1200,8300,25000,25000
GET,/api/23bc46b1-71f6-4ed5-8c54-816aa4f8c502/set-computation/sequence,14070,0,70,79.33525230987918,52,14675,123.0,9.037371927590613,0.0,70,73,76,78,83,90,120,430,560,11000,15000
,Aggregated,57998,0,17,54.280302769061,6,24995,103.73511155557088,37.252984865415804,0.0,17,27,67,71,87,180,280,480,1200,11000,25000
